date,y
2022-07-01,969.37274
2022-07-02,1009.58966
2022-07-03,1009.58966
2022-07-04,971.4823
2022-07-05,971.4823
2022-07-06,941.2938
2022-07-07,934.6326
2022-07-08,971.7888
2022-07-09,1009.58966
2022-07-10,1451.9497
2022-07-11,906.63464
2022-07-12,971.2841
2022-07-13,941.2938
2022-07-14,941.2938
2022-07-15,833.05536
2022-07-16,1189.816
2022-07-17,1250.3
2022-07-18,1009.58966
2022-07-19,969.37274
2022-07-20,941.2938
2022-07-21,1283.7922
2022-07-22,1009.58966
2022-07-23,991.19116
2022-07-24,1451.9497
2022-07-25,1166.4934
2022-07-26,1009.58966
2022-07-27,1008.8712
2022-07-28,971.7888
2022-07-29,1166.4934
2022-07-30,1166.4934
2022-07-31,1516.6248
2022-08-01,1250.3
2022-08-02,1009.58966
2022-08-03,1166.4934
2022-08-04,1009.58966
2022-08-05,1166.4934
2022-08-06,1907.5194
2022-08-07,1907.5194
2022-08-08,1250.3
2022-08-09,1516.6248
2022-08-10,1250.3
2022-08-11,1009.58966
2022-08-12,1250.3
2022-08-13,1451.9497
2022-08-14,1907.5194
2022-08-15,1907.5194
2022-08-16,1516.6248
2022-08-17,1166.4934
2022-08-18,1516.6248
2022-08-19,1166.4934
2022-08-20,1166.4934
2022-08-21,1516.6248
2022-08-22,1516.6248
2022-08-23,1009.58966
2022-08-24,969.37274
2022-08-25,971.7888
2022-08-26,1009.58966
2022-08-27,1250.3
2022-08-28,1451.9497
2022-08-29,1009.58966
2022-08-30,1008.8712
2022-08-31,969.37274
2022-09-01,915.97076
2022-09-02,941.2938
2022-09-03,1009.58966
2022-09-04,1451.9497
2022-09-05,1166.4934
2022-09-06,1907.5194
2022-09-07,969.37274
2022-09-08,1009.58966
2022-09-09,1166.4934
2022-09-10,1907.5194
2022-09-11,1907.5194
2022-09-12,1907.5194
2022-09-13,1002.2129
2022-09-14,971.2841
2022-09-15,941.2938
2022-09-16,941.2938
2022-09-17,991.19116
2022-09-18,1166.4934
2022-09-19,1009.58966
2022-09-20,1008.8712
2022-09-21,934.6326
2022-09-22,874.2461
2022-09-23,971.2841
2022-09-24,941.2938
2022-09-25,1189.816
2022-09-26,874.2461
2022-09-27,874.2461
2022-09-28,971.2841
2022-09-29,934.6326
2022-09-30,971.2841
2022-10-01,971.7888
2022-10-02,1009.58966
2022-10-03,1009.58966
2022-10-04,906.63464
2022-10-05,855.68304
2022-10-06,845.0676
2022-10-07,855.5585
2022-10-08,874.2461
2022-10-09,1009.58966
2022-10-10,1009.58966
2022-10-11,925.5097
2022-10-12,919.85034
2022-10-13,835.47144
2022-10-14,845.0676
2022-10-15,906.63464
